unified_round,native_id,date,role,feature_family,cohort_or_split,own_endpoint,own_metric,outcome,has_archived_metric,source_file
437,NEXT421,2026-08-13,search/test,P4BSS full label-free build,SCIGEN+WyFormer discovery,label-free coverage gate (>=0.95),"supported 12969/13470 (0.9628062361) and 4991/5232 (0.9539373089); 1,282,193 + 986,906 co-anion pairs",probe-pass,yes,line 10295 | docs/plans/2026-08-13-next420-next424-pauling4-bond-strength-segregation.md | artifact mtime: tests/test_next421_p4bss_formal_build.py
438,NEXT422,2026-08-13,search/test,P4BSS discovery audit,SCIGEN+WyFormer discovery labels (offline),cross-source AUC + coverage gates,SCIGEN 0.4204434868/0.3841071719 fail (direction reversal); WyFormer 0.5840637450/0.5658265277 pass; 0 eligible; branch terminated,abandoned-family,yes,line 10317 | docs/plans/2026-08-13-next420-next424-pauling4-bond-strength-segregation.md | SSD/workspace_data/newpauling/next422_pauling4_bond_strength_segregation_audit_v1/MANIFEST.json :: new_formula_selected=False; eligible_hypothesis_count=0 || SSD/workspace_data/new
439,NEXT423,2026-08-13 (block),search/test,P4BSS (follow-on search),NA,"reserved follow-on; ""No NEXT423 formula search, NEXT424 residual diagnostic ... was created""",NA,not-run (blocked upstream),no,line 10330 | docs/plans/2026-08-13-next420-next424-pauling4-bond-strength-segregation.md
440,NEXT424,2026-08-13 (block),search/test,P4BSS (follow-on diagnostic),NA,reserved follow-on; not created,NA,not-run (blocked upstream),no,line 10330 | docs/plans/2026-08-13-next420-next424-pauling4-bond-strength-segregation.md
441,NEXT425,2026-08-13,search/test,a-priori bond strength (APRBS max-entropy transport) formula + probe,SCIGEN+WyFormer 80+80 label-blind probe,label-blind support/domain/invariance/novelty gates,probe passed: support 78/80 and 73/80; novelty 0.3834806538 / 0.4881930430,probe-pass,yes,line 10376 | docs/plans/2026-08-13-next425-next429-apriori-bond-strength-length-order.md | workspace/newpauling/experiments/next425_aprbs_label_blind_probe_result.full.json :: probe_passed=True; eligible_control_count=420; eligible_control_count=426
442,NEXT426,2026-08-13,search/test,APRBS full label-free build,SCIGEN+WyFormer discovery,label-free coverage gate (>=0.95),SCIGEN 12837/13470 (0.9530066815) pass; WyFormer 4878/5232 (0.9323394495) fail; next427_audit_authorized=false,abandoned-family,yes,line 10421 | docs/plans/2026-08-13-next425-next429-apriori-bond-strength-length-order.md | artifact mtime: tests/test_next426_aprbs_formal_build.py
443,NEXT427,2026-08-13 (block),search/test,APRBS (follow-on audit),NA,reserved follow-on; audit not authorized,NA,not-run (blocked upstream),no,line 10435 | docs/plans/2026-08-13-next425-next429-apriori-bond-strength-length-order.md
444,NEXT428,2026-08-13 (range-plan date),search/test,apriori-bond-strength-length-order,NA,absent - never mentioned in report (within reserved APRBS range),NA,not-run (blocked upstream),no,NA | docs/plans/2026-08-13-next425-next429-apriori-bond-strength-length-order.md
445,NEXT429,2026-08-13 (block),search/test,APRBS (reserved branch endpoint),NA,"reserved; mentioned only in range header ""NEXT425--NEXT429 APRBS""",NA,not-run (blocked upstream),no,line 10368 | docs/plans/2026-08-13-next425-next429-apriori-bond-strength-length-order.md
446,NEXT430,2026-08-13,search/test,endpoint characteristic strength-length order (ECSLO),SCIGEN+WyFormer 80+80 label-blind probe,label-blind novelty gate vs recomputed APRBS,Spearman vs APRBS 0.9918491066 SCIGEN / 0.9347809095 WyFormer >= 0.90; next431_formal_build_authorized=false,abandoned-family,yes,line 10440 | docs/plans/2026-08-13-next430-next434-endpoint-strength-length-order.md | workspace/newpauling/experiments/next430_ecslo_label_blind_probe_result.full.json :: probe_passed=False; eligible_control_count=421; eligible_control_count=427
447,NEXT431,2026-08-13 (block),search/test,ECSLO (follow-on build),NA,reserved follow-on; not authorized,NA,not-run (blocked upstream),no,line 10456 | docs/plans/2026-08-13-next430-next434-endpoint-strength-length-order.md
448,NEXT432,2026-08-13 (range-plan date),search/test,endpoint-strength-length-order,NA,absent - never mentioned in report (within reserved ECSLO range),NA,not-run (blocked upstream),no,NA | docs/plans/2026-08-13-next430-next434-endpoint-strength-length-order.md
449,NEXT433,2026-08-13 (range-plan date),search/test,endpoint-strength-length-order,NA,absent - never mentioned in report (within reserved ECSLO range),NA,not-run (blocked upstream),no,NA | docs/plans/2026-08-13-next430-next434-endpoint-strength-length-order.md
450,NEXT434,2026-08-13 (block),search/test,ECSLO (reserved branch endpoint),NA,"reserved; mentioned only in range header ""NEXT430--NEXT434 ECSLO""",NA,not-run (blocked upstream),no,line 10369 | docs/plans/2026-08-13-next430-next434-endpoint-strength-length-order.md
451,NEXT435,2026-08-13,search/test,positive valence transport margin (PVTM) formula + probe,SCIGEN+WyFormer 80+80 label-blind probe,label-blind support/domain/invariance/novelty gates,probe passed: support 78/80 and 78/80; novelty 0.7610677624 / 0.6855621576,probe-pass,yes,line 10461 | docs/plans/2026-08-13-next435-next439-positive-valence-transport-margin.md | workspace/newpauling/experiments/next435_pvtm_label_blind_probe_result.full.json :: probe_passed=True; eligible_control_count=422; eligible_control_count=430
452,NEXT436,2026-08-13,search/test,PVTM full label-free build,SCIGEN+WyFormer discovery,label-free coverage gate,supported 13217/13470 (0.9812175204) and 5181/5232 (0.9902522936); 365 + 255 supported zero-valued infeasible,probe-pass,yes,line 10506 | docs/plans/2026-08-13-next435-next439-positive-valence-transport-margin.md | artifact mtime: tests/test_next436_pvtm_formal_build.py
453,NEXT437,2026-08-13,search/test,PVTM discovery audit,SCIGEN+WyFormer discovery labels (offline),cross-source AUC + coverage gates,SCIGEN 0.5878493980/0.5450466200 pass; WyFormer 0.5296763721/0.4772368421 fail (worst fold below chance); 0 eligible; branch terminated,abandoned-family,yes,line 10522 | docs/plans/2026-08-13-next435-next439-positive-valence-transport-margin.md | SSD/workspace_data/newpauling/next437_positive_valence_transport_margin_audit_v1/MANIFEST.json :: new_formula_selected=False; eligible_hypothesis_count=0 || SSD/workspace_data/newp
454,NEXT438,2026-08-13 (block),search/test,PVTM (follow-on search),NA,reserved follow-on; next438_search_authorized=false,NA,not-run (blocked upstream),no,line 10533 | docs/plans/2026-08-13-next435-next439-positive-valence-transport-margin.md
455,NEXT439,2026-08-13 (block),search/test,PVTM (follow-on),NA,"reserved follow-on; ""NEXT439 was not opened""",NA,not-run (blocked upstream),no,line 10534 | docs/plans/2026-08-13-next435-next439-positive-valence-transport-margin.md
456,NEXT440,2026-08-13,search/test,path-constrained a-priori bond positivity (PCABP),SCIGEN+WyFormer 80+80 label-blind probe,label-blind nondegeneracy gate,16 and 8 unique values (< 20 required); sign fraction saturated at 1.0; next441_formal_build_authorized=false,abandoned-family,yes,line 10564 | docs/plans/2026-08-13-next440-next444-path-constrained-apriori-bond-positivity.md | workspace/newpauling/experiments/next440_pcabp_label_blind_probe_result.full.json :: probe_passed=False; eligible_control_count=423; eligible_control_count=431
457,NEXT441,2026-08-13 (block),search/test,PCABP (follow-on build),NA,reserved follow-on; not authorized,NA,not-run (blocked upstream),no,line 10594 | docs/plans/2026-08-13-next440-next444-path-constrained-apriori-bond-positivity.md
458,NEXT442,2026-08-13 (range-plan date),search/test,path-constrained-apriori-bond-positivity,NA,absent - never mentioned in report,NA,unmarked,no,NA | docs/plans/2026-08-13-next440-next444-path-constrained-apriori-bond-positivity.md
459,NEXT443,2026-08-13 (range-plan date),search/test,path-constrained-apriori-bond-positivity,NA,absent - never mentioned in report,NA,unmarked,no,NA | docs/plans/2026-08-13-next440-next444-path-constrained-apriori-bond-positivity.md
460,NEXT444,2026-08-13 (range-plan date),search/test,path-constrained-apriori-bond-positivity,NA,absent - never mentioned in report,NA,unmarked,no,NA | docs/plans/2026-08-13-next440-next444-path-constrained-apriori-bond-positivity.md
461,NEXT445,2026-08-13,search/test,path-constrained bond-strength matching (PCABSM),SCIGEN+WyFormer 80+80 label-blind probe,label-blind novelty gate vs PVTM,WyFormer Spearman 0.9576248283 vs PVTM >= 0.90 (SCIGEN 0.8910582152); next446_formal_build_authorized=false,abandoned-family,yes,line 10603 | docs/plans/2026-08-13-next445-next449-path-constrained-bond-strength-matching.md | workspace/newpauling/experiments/next445_pcabsm_label_blind_probe_result.full.json :: probe_passed=False; eligible_control_count=424; eligible_control_count=432
462,NEXT446,2026-08-13 (block),search/test,PCABSM (follow-on build),NA,reserved follow-on; not authorized,NA,not-run (blocked upstream),no,line 10621 | docs/plans/2026-08-13-next445-next449-path-constrained-bond-strength-matching.md
463,NEXT447,2026-08-13 (range-plan date),search/test,path-constrained-bond-strength-matching,NA,absent - never mentioned in report,NA,unmarked,no,NA | docs/plans/2026-08-13-next445-next449-path-constrained-bond-strength-matching.md
464,NEXT448,2026-08-13 (range-plan date),search/test,path-constrained-bond-strength-matching,NA,absent - never mentioned in report,NA,unmarked,no,NA | docs/plans/2026-08-13-next445-next449-path-constrained-bond-strength-matching.md
465,NEXT449,2026-08-13 (range-plan date),search/test,path-constrained-bond-strength-matching,NA,absent - never mentioned in report,NA,unmarked,no,NA | docs/plans/2026-08-13-next445-next449-path-constrained-bond-strength-matching.md
466,NEXT450,2026-08-13,search/test,"equitable bond-class transport margin (quotient transport, ECTM)",none (analytic argument; no data access),analytic distinctness from PVTM,"exact symmetry proof: orbit-averaged feasible flow leaves PVTM optimum unchanged; analytic redundancy stop, no implementation or probe",family-abandoned (redundancy stop),yes,line 10642 | docs/plans/2026-08-13-next450-next454-equitable-bond-class-transport-margin.md | artifact mtime: docs/plans/2026-08-13-next450-next454-equitable-bond-class-transport-margin.md
467,NEXT451,2026-08-13 (block),search/test,ECTM (follow-on),NA,"reserved follow-on; ""no ... downstream NEXT451--NEXT454 artifact was created""",NA,not-run (blocked upstream),no,line 10654 | docs/plans/2026-08-13-next450-next454-equitable-bond-class-transport-margin.md
468,NEXT452,2026-08-13 (block),search/test,ECTM (follow-on),NA,reserved follow-on; covered only by range NEXT451--NEXT454,NA,not-run (blocked upstream),no,line 10654 | docs/plans/2026-08-13-next450-next454-equitable-bond-class-transport-margin.md
469,NEXT453,2026-08-13 (block),search/test,ECTM (follow-on),NA,reserved follow-on; covered only by range NEXT451--NEXT454,NA,not-run (blocked upstream),no,line 10654 | docs/plans/2026-08-13-next450-next454-equitable-bond-class-transport-margin.md
470,NEXT454,2026-08-13 (block),search/test,ECTM (follow-on),NA,reserved follow-on; not created,NA,not-run (blocked upstream),no,line 10654 | docs/plans/2026-08-13-next450-next454-equitable-bond-class-transport-margin.md
471,NEXT455,2026-08-13,search/test,path-field participation uniformity (PFPU),SCIGEN+WyFormer 80+80 label-blind probe,label-blind novelty gate vs PCABSM,novelty failed both sources: 0.9798520103 / 0.9833603896 vs PCABSM; next456_formal_build_authorized=false,abandoned-family,yes,line 10658 | docs/plans/2026-08-13-next455-next459-path-field-participation-uniformity.md | workspace/newpauling/experiments/next455_pfpu_label_blind_probe_result.full.json :: probe_passed=False; eligible_control_count=425; eligible_control_count=433
472,NEXT456,2026-08-13,search/test,PFPU (path-field participation uniformity),NA,NA,not executed; next456_formal_build_authorized=false (NEXT455 novelty gate: |rho| vs PCABSM 0.9798520103/0.9833603896 >= 0.90),not-run (blocked upstream),yes,<repo>/reports/2026-08-08-next115-next117-hcid-no-dft-search.md ; <repo>/docs/plans/2026-08-13-next455-next459-path-field-participation-uniformity.md | docs/plans/2026-08-13-next455-next459-path-field-participation-uniformity.md
473,NEXT457,2026-08-13,search/test,PFPU (path-field participation uniformity),NA,NA,not executed; next456_formal_build_authorized=false (NEXT455 novelty gate: |rho| vs PCABSM 0.9798520103/0.9833603896 >= 0.90),not-run (blocked upstream),yes,<repo>/reports/2026-08-08-next115-next117-hcid-no-dft-search.md ; <repo>/docs/plans/2026-08-13-next455-next459-path-field-participation-uniformity.md | docs/plans/2026-08-13-next455-next459-path-field-participation-uniformity.md
474,NEXT458,2026-08-13,search/test,PFPU (path-field participation uniformity),NA,NA,not executed; next456_formal_build_authorized=false (NEXT455 novelty gate: |rho| vs PCABSM 0.9798520103/0.9833603896 >= 0.90),not-run (blocked upstream),yes,<repo>/reports/2026-08-08-next115-next117-hcid-no-dft-search.md ; <repo>/docs/plans/2026-08-13-next455-next459-path-field-participation-uniformity.md | docs/plans/2026-08-13-next455-next459-path-field-participation-uniformity.md
475,NEXT459,2026-08-13,search/test,PFPU (path-field participation uniformity),NA,NA,not executed; next456_formal_build_authorized=false (NEXT455 novelty gate: |rho| vs PCABSM 0.9798520103/0.9833603896 >= 0.90),not-run (blocked upstream),yes,<repo>/reports/2026-08-08-next115-next117-hcid-no-dft-search.md ; <repo>/docs/plans/2026-08-13-next455-next459-path-field-participation-uniformity.md | docs/plans/2026-08-13-next455-next459-path-field-participation-uniformity.md
476,NEXT460,2026-08-13,search/test,CLAM (characteristic Lewis anion matching),SCIGEN+WyFormer 80+80 blind probes,none opened (label-blind),"support SCIGEN 2/80 (0.0250), WyFormer 14/80 (0.1750); support gates failed",fail-gate,yes,<repo>/reports/2026-08-13-hawthorne-characteristic-cn-no-dft-search.md | docs/plans/2026-08-13-next460-next464-characteristic-lewis-anion-matching.md | workspace/newpauling/experiments/next460_clam_label_blind_probe_result.full.json :: probe_passed=False; eligible_control_count=0; eligible_control_count=0
477,NEXT461,2026-08-13,search/test,CLAM,NA,NA,not executed; next461_formal_build_authorized=false,not-run (blocked upstream),yes,<repo>/reports/2026-08-13-hawthorne-characteristic-cn-no-dft-search.md | docs/plans/2026-08-13-next460-next464-characteristic-lewis-anion-matching.md
478,NEXT462,2026-08-13,search/test,CLAM,NA,NA,not executed; next461_formal_build_authorized=false,not-run (blocked upstream),yes,<repo>/reports/2026-08-13-hawthorne-characteristic-cn-no-dft-search.md | docs/plans/2026-08-13-next460-next464-characteristic-lewis-anion-matching.md
479,NEXT463,2026-08-13,search/test,CLAM,NA,NA,not executed; next461_formal_build_authorized=false,not-run (blocked upstream),yes,<repo>/reports/2026-08-13-hawthorne-characteristic-cn-no-dft-search.md | docs/plans/2026-08-13-next460-next464-characteristic-lewis-anion-matching.md
480,NEXT464,2026-08-13,search/test,CLAM,NA,NA,not executed; next461_formal_build_authorized=false,not-run (blocked upstream),yes,<repo>/reports/2026-08-13-hawthorne-characteristic-cn-no-dft-search.md | docs/plans/2026-08-13-next460-next464-characteristic-lewis-anion-matching.md
481,NEXT465,2026-08-13,search/test,MV-CLAM (mixed-valence lever-rule CLAM),SCIGEN+WyFormer 80+80 blind probes,none opened (label-blind),"support SCIGEN 2/80 (0.0250), WyFormer 19/80 (0.2375); support gate failed; acidity family closed",abandoned-family,yes,<repo>/reports/2026-08-13-hawthorne-characteristic-cn-no-dft-search.md | docs/plans/2026-08-13-next465-next469-mixed-valence-characteristic-lewis-matching.md | artifact mtime: tests/test_next465_mixed_valence_characteristic_lewis_matching.py
482,NEXT466,2026-08-13,search/test,MV-CLAM,NA,NA,not executed; next466_formal_build_authorized=false,not-run (blocked upstream),yes,<repo>/reports/2026-08-13-hawthorne-characteristic-cn-no-dft-search.md | docs/plans/2026-08-13-next465-next469-mixed-valence-characteristic-lewis-matching.md
483,NEXT467,2026-08-13,search/test,MV-CLAM,NA,NA,not executed; next466_formal_build_authorized=false,not-run (blocked upstream),yes,<repo>/reports/2026-08-13-hawthorne-characteristic-cn-no-dft-search.md | docs/plans/2026-08-13-next465-next469-mixed-valence-characteristic-lewis-matching.md
484,NEXT468,2026-08-13,search/test,MV-CLAM,NA,NA,not executed; next466_formal_build_authorized=false,not-run (blocked upstream),yes,<repo>/reports/2026-08-13-hawthorne-characteristic-cn-no-dft-search.md | docs/plans/2026-08-13-next465-next469-mixed-valence-characteristic-lewis-matching.md
485,NEXT469,2026-08-13,search/test,MV-CLAM,NA,NA,not executed; next466_formal_build_authorized=false,not-run (blocked upstream),yes,<repo>/reports/2026-08-13-hawthorne-characteristic-cn-no-dft-search.md | docs/plans/2026-08-13-next465-next469-mixed-valence-characteristic-lewis-matching.md
486,NEXT470,2026-08-13,search/test,ECCC (element characteristic coordination compatibility),SCIGEN+WyFormer 80+80 blind probes,none opened (label-blind),"support 76/80 SCIGEN, 75/80 WyFormer; max adequate prior |Spearman| 0.5628590440/0.4483715165; all 80+80 blind gates pass",probe-pass,yes,<repo>/reports/2026-08-13-hawthorne-characteristic-cn-no-dft-search.md | docs/plans/2026-08-13-next470-next474-element-characteristic-coordination-compatibility.md | workspace/newpauling/experiments/next470_eccc_label_blind_novelty_probe_result.full.json :: probe_passed=True; eligible_control_count=426; eligible_control_count=0; eligible_contro
487,NEXT471,2026-08-13,search/test,ECCC,"SCIGEN 13,470 + WyFormer 5,232 (full label-free build)",none opened (label-blind),"coverage SCIGEN 0.9619153675 pass, WyFormer 0.9323394495 fail (<0.95); 18,702 label-free rows retained",fail-gate,yes,<repo>/reports/2026-08-13-hawthorne-characteristic-cn-no-dft-search.md | docs/plans/2026-08-13-next470-next474-element-characteristic-coordination-compatibility.md | artifact mtime: src/next471_eccc_formal_build.py
488,NEXT472,2026-08-13,search/test,ECCC,NA,NA,not executed; next472_audit_authorized=false,not-run (blocked upstream),yes,<repo>/reports/2026-08-13-hawthorne-characteristic-cn-no-dft-search.md | docs/plans/2026-08-13-next470-next474-element-characteristic-coordination-compatibility.md
489,NEXT473,2026-08-13,search/test,ECCC,NA,NA,not executed; blocked upstream (next472_audit_authorized=false),not-run (blocked upstream),yes,<repo>/reports/2026-08-13-hawthorne-characteristic-cn-no-dft-search.md | docs/plans/2026-08-13-next470-next474-element-characteristic-coordination-compatibility.md
490,NEXT474,2026-08-13,search/test,ECCC,NA,NA,not executed; blocked upstream (next472_audit_authorized=false),not-run (blocked upstream),yes,<repo>/reports/2026-08-13-hawthorne-characteristic-cn-no-dft-search.md | docs/plans/2026-08-13-next470-next474-element-characteristic-coordination-compatibility.md
491,NEXT475,2026-08-13,search/test,CCCB (characteristic coordination bottleneck),SCIGEN+WyFormer 80+80 blind probes,none opened (label-blind),"support 78/80 SCIGEN, 76/80 WyFormer; |Spearman| vs ECCC 0.8957391954/0.9300016371 (WyFormer >= 0.90 novelty limit)",fail-gate,yes,<repo>/reports/2026-08-13-hawthorne-characteristic-cn-no-dft-search.md | docs/plans/2026-08-13-next475-next479-characteristic-coordination-bottleneck.md | workspace/newpauling/experiments/next475_cccb_label_blind_novelty_probe_result.full.json :: probe_passed=False; eligible_control_count=1; eligible_control_count=1; eligible_control
492,NEXT476,2026-08-13,search/test,CCCB,NA,NA,not executed; next476_formal_build_authorized=false,not-run (blocked upstream),yes,<repo>/reports/2026-08-13-hawthorne-characteristic-cn-no-dft-search.md | docs/plans/2026-08-13-next475-next479-characteristic-coordination-bottleneck.md
493,NEXT477,2026-08-13,search/test,CCCB,NA,NA,not executed; next476_formal_build_authorized=false,not-run (blocked upstream),yes,<repo>/reports/2026-08-13-hawthorne-characteristic-cn-no-dft-search.md | docs/plans/2026-08-13-next475-next479-characteristic-coordination-bottleneck.md
494,NEXT478,2026-08-13,search/test,CCCB,NA,NA,not executed; next476_formal_build_authorized=false,not-run (blocked upstream),yes,<repo>/reports/2026-08-13-hawthorne-characteristic-cn-no-dft-search.md | docs/plans/2026-08-13-next475-next479-characteristic-coordination-bottleneck.md
495,NEXT479,2026-08-13,search/test,CCCB,NA,NA,not executed; next476_formal_build_authorized=false,not-run (blocked upstream),yes,<repo>/reports/2026-08-13-hawthorne-characteristic-cn-no-dft-search.md | docs/plans/2026-08-13-next475-next479-characteristic-coordination-bottleneck.md
496,NEXT480,2026-08-13,search/test,SBCC (site-balanced characteristic coordination),SCIGEN+WyFormer 80+80 blind probes,none opened (label-blind),support 78/80 and 76/80; |Spearman| vs ECCC 0.9971560611/0.9922615153 (novelty fail),fail-gate,yes,<repo>/reports/2026-08-13-hawthorne-characteristic-cn-no-dft-search.md | docs/plans/2026-08-13-next480-next484-site-balanced-characteristic-coordination.md | workspace/newpauling/experiments/next480_sbcc_label_blind_novelty_probe_result.full.json :: probe_passed=False; eligible_control_count=2; eligible_control_count=2; eligible_control
497,NEXT481,2026-08-13,search/test,SBCC,NA,NA,not executed; next481_formal_build_authorized=false,not-run (blocked upstream),yes,<repo>/reports/2026-08-13-hawthorne-characteristic-cn-no-dft-search.md | docs/plans/2026-08-13-next480-next484-site-balanced-characteristic-coordination.md
498,NEXT482,2026-08-13,search/test,SBCC,NA,NA,not executed; next481_formal_build_authorized=false,not-run (blocked upstream),yes,<repo>/reports/2026-08-13-hawthorne-characteristic-cn-no-dft-search.md | docs/plans/2026-08-13-next480-next484-site-balanced-characteristic-coordination.md
499,NEXT483,2026-08-13,search/test,SBCC,NA,NA,not executed; next481_formal_build_authorized=false,not-run (blocked upstream),yes,<repo>/reports/2026-08-13-hawthorne-characteristic-cn-no-dft-search.md | docs/plans/2026-08-13-next480-next484-site-balanced-characteristic-coordination.md
500,NEXT484,2026-08-13,search/test,SBCC,NA,NA,not executed; next481_formal_build_authorized=false,not-run (blocked upstream),yes,<repo>/reports/2026-08-13-hawthorne-characteristic-cn-no-dft-search.md | docs/plans/2026-08-13-next480-next484-site-balanced-characteristic-coordination.md
501,NEXT485,2026-08-13,search/test,"CACC (complex-anion contact correspondence, Hawthorne Appendix 4)",SCIGEN+WyFormer 80+80 blind probes,none opened (label-blind),all 78/76 supported rows equal zero (no eligible isolated group); non-degeneracy gate stop; exact Appendix 4 recognition branch closed,abandoned-family,yes,<repo>/reports/2026-08-13-hawthorne-characteristic-cn-no-dft-search.md | docs/plans/2026-08-13-next485-next489-complex-anion-contact-correspondence.md | workspace/newpauling/experiments/next485_cacc_label_blind_engineering_probe_result.full.json :: engineering_probe_passed=False
502,NEXT486,2026-08-13,search/test,CACC,NA,NA,not executed; non-degeneracy gate stopped branch at NEXT485,not-run (blocked upstream),yes,<repo>/reports/2026-08-13-hawthorne-characteristic-cn-no-dft-search.md | docs/plans/2026-08-13-next485-next489-complex-anion-contact-correspondence.md
503,NEXT487,2026-08-13,search/test,CACC,NA,NA,not executed; non-degeneracy gate stopped branch at NEXT485,not-run (blocked upstream),yes,<repo>/reports/2026-08-13-hawthorne-characteristic-cn-no-dft-search.md | docs/plans/2026-08-13-next485-next489-complex-anion-contact-correspondence.md
504,NEXT488,2026-08-13,search/test,CACC,NA,NA,not executed; non-degeneracy gate stopped branch at NEXT485,not-run (blocked upstream),yes,<repo>/reports/2026-08-13-hawthorne-characteristic-cn-no-dft-search.md | docs/plans/2026-08-13-next485-next489-complex-anion-contact-correspondence.md
505,NEXT489,2026-08-13,search/test,CACC,NA,NA,not executed; non-degeneracy gate stopped branch at NEXT485,not-run (blocked upstream),yes,<repo>/reports/2026-08-13-hawthorne-characteristic-cn-no-dft-search.md | docs/plans/2026-08-13-next485-next489-complex-anion-contact-correspondence.md
506,NEXT490,2026-08-13,search/test,CCLAB (coordination-conditioned Lewis-acidity balance),SCIGEN+WyFormer 80+80 blind probes,none opened (label-blind),"support 76/80, 75/80; max adequate prior |Spearman| 0.7062989170/0.7578674565; max vs Hawthorne controls 0.1963130704/0.2567195602; all blind gates pass",probe-pass,yes,<repo>/reports/2026-08-13-hawthorne-characteristic-cn-no-dft-search.md | docs/plans/2026-08-13-next490-next494-coordination-conditioned-lewis-acidity-balance.md | workspace/newpauling/experiments/next490_cclab_label_blind_engineering_probe_result.full.json :: engineering_probe_passed=True || workspace/newpauling/experiments/next490_cclab_lab
507,NEXT491,2026-08-13,search/test,CCLAB,"SCIGEN 13,470 + WyFormer 5,232 (full label-free build)",none opened (label-blind),"coverage SCIGEN 0.9619153675 pass, WyFormer 0.9323394495 fail (<0.95)",fail-gate,yes,<repo>/reports/2026-08-13-hawthorne-characteristic-cn-no-dft-search.md | docs/plans/2026-08-13-next490-next494-coordination-conditioned-lewis-acidity-balance.md | artifact mtime: tests/test_next491_cclab_formal_build.py
508,NEXT492,2026-08-13,search/test,CCLAB,NA,NA,not executed; next492_audit_authorized=false,not-run (blocked upstream),yes,<repo>/reports/2026-08-13-hawthorne-characteristic-cn-no-dft-search.md | docs/plans/2026-08-13-next490-next494-coordination-conditioned-lewis-acidity-balance.md
509,NEXT493,2026-08-13,search/test,CCLAB,NA,NA,not executed; next492_audit_authorized=false,not-run (blocked upstream),yes,<repo>/reports/2026-08-13-hawthorne-characteristic-cn-no-dft-search.md | docs/plans/2026-08-13-next490-next494-coordination-conditioned-lewis-acidity-balance.md
510,NEXT494,2026-08-13,search/test,CCLAB,NA,NA,not executed; next492_audit_authorized=false,not-run (blocked upstream),yes,<repo>/reports/2026-08-13-hawthorne-characteristic-cn-no-dft-search.md | docs/plans/2026-08-13-next490-next494-coordination-conditioned-lewis-acidity-balance.md
511,NEXT495,2026-08-13,search/test,CCLAB-CDE (conservative domain extension),SCIGEN+WyFormer 80+80 blind probes,none opened (label-blind),support 78/80 and 76/80; shared-domain max error exactly 0; 0 conservatism violations in 78/76 comparisons; all blind CDE gates pass (post-coverage exploratory),probe-pass,yes,<repo>/reports/2026-08-13-hawthorne-characteristic-cn-no-dft-search.md | docs/plans/2026-08-13-next495-next499-cclab-conservative-domain-extension.md | workspace/newpauling/experiments/next495_cclab_cde_label_blind_probe_result.full.json :: probe_passed=True
512,NEXT496,2026-08-13,search/test,CCLAB-CDE,"SCIGEN 13,470 + WyFormer 5,232 (full label-free build)",none opened (label-blind),"coverage SCIGEN 0.9657757981, WyFormer 0.9686544343; both pass >=0.95",probe-pass,yes,<repo>/reports/2026-08-13-hawthorne-characteristic-cn-no-dft-search.md | docs/plans/2026-08-13-next495-next499-cclab-conservative-domain-extension.md | artifact mtime: tests/test_next496_cclab_cde_formal_build.py
513,NEXT497,2026-08-13,search/test,CCLAB-CDE,"NEXT224 rejected-extreme cohort (SCIGEN+WyFormer, 5 folds)",NEXT224 rejected-extreme discovery labels (severe vs protected),aggregate AUC 0.5895445624/0.5931405239; worst-fold AUC 0.5597826087/0.5236680531; inherited NEXT413 gates pass,probe-pass,yes,<repo>/reports/2026-08-13-hawthorne-characteristic-cn-no-dft-search.md | docs/plans/2026-08-13-next495-next499-cclab-conservative-domain-extension.md | SSD/workspace_data/newpauling/next497_cclab_cde_feature_audit_v1/MANIFEST.json :: new_formula_selected=False; eligible_hypothesis_count=1 || SSD/workspace_data/newpauling/next497_c
514,NEXT498,2026-08-13,search/test,CCLAB-CDE margin-local correction (21 frozen triangular corrections),NEXT224 rejected-extreme cohort (SCIGEN+WyFormer),NEXT224 rejected-extreme discovery labels (severe vs protected),"21 corrections, 17 pass source-AUC+SAFE12, 0 passed BROAD; diagnostic representative pooled AUC 0.8407476376/0.7682113316; freeze_authorized=false",fail-gate,yes,<repo>/reports/2026-08-13-hawthorne-characteristic-cn-no-dft-search.md | docs/plans/2026-08-13-next495-next499-cclab-conservative-domain-extension.md | SSD/workspace_data/newpauling/next498_cclab_cde_margin_local_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count=22; 
515,NEXT499,2026-08-13,diagnostic,CCLAB-CDE margin-local correction,17 AUC+SAFE/non-BROAD records from NEXT498,NEXT224 rejected-extreme discovery labels (severe vs protected),closest residual shortfall 0.1568962149 vs NEXT235 reference 0.1233954365 (no strict improvement); finite branch closed,diagnostic-only,yes,<repo>/reports/2026-08-13-hawthorne-characteristic-cn-no-dft-search.md | docs/plans/2026-08-13-next495-next499-cclab-conservative-domain-extension.md | SSD/workspace_data/newpauling/next499_cclab_cde_broad_diagnostic_v1/MANIFEST.json :: new_formula_selected=False; candidate_count=17 || SSD/workspace_data/newpauling/next499_cclab_c
