unified_round,segment,native_id,date,artifact_mtime_span,session_first_mention_utc,problem,problem_detail,problem_evidence,role,feature_family,cohort_or_split,own_endpoint,own_metric,outcome,source_file
511,next,NEXT495,2026-08-13,2026-08-13T15:40 .. 2026-08-13T15:46,2026-08-13T20:39:29,plausibility,,mined from round report/controls,search/test,CCLAB-CDE (conservative domain extension),SCIGEN+WyFormer 80+80 blind probes,none opened (label-blind),support 78/80 and 76/80; shared-domain max error exactly 0; 0 conservatism violations in 78/76 comparisons; all blind CDE gates pass (post-coverage exploratory),probe-pass,<repo>/reports/2026-08-13-hawthorne-characteristic-cn-no-dft-search.md | docs/plans/2026-08-13-next495-next499-cclab-conservative-domain-extension.md | workspace/newpauling/experiments/next495_cclab_cde_label_blind_probe_result.full.json :: probe_passed=True
512,next,NEXT496,2026-08-13,2026-08-13T15:48 .. 2026-08-13T15:53,2026-08-13T20:45:38,plausibility,,mined from round report/controls,search/test,CCLAB-CDE,"SCIGEN 13,470 + WyFormer 5,232 (full label-free build)",none opened (label-blind),"coverage SCIGEN 0.9657757981, WyFormer 0.9686544343; both pass >=0.95",probe-pass,<repo>/reports/2026-08-13-hawthorne-characteristic-cn-no-dft-search.md | docs/plans/2026-08-13-next495-next499-cclab-conservative-domain-extension.md | artifact mtime: tests/test_next496_cclab_cde_formal_build.py
513,next,NEXT497,2026-08-13,2026-08-13T15:58 .. 2026-08-13T15:58,2026-08-13T20:40:29,plausibility,,mined from round report/controls,search/test,CCLAB-CDE,"NEXT224 rejected-extreme cohort (SCIGEN+WyFormer, 5 folds)",NEXT224 rejected-extreme discovery labels (severe vs protected),aggregate AUC 0.5895445624/0.5931405239; worst-fold AUC 0.5597826087/0.5236680531; inherited NEXT413 gates pass,probe-pass,<repo>/reports/2026-08-13-hawthorne-characteristic-cn-no-dft-search.md | docs/plans/2026-08-13-next495-next499-cclab-conservative-domain-extension.md | SSD/workspace_data/newpauling/next497_cclab_cde_feature_audit_v1/MANIFEST.json :: new_formula_selected=False; eligible_hypothesis_count=1 || SSD/workspace_data/newpauling/next497_c
514,next,NEXT498,2026-08-13,2026-08-13T16:05 .. 2026-08-13T16:10,2026-08-13T20:58:11,plausibility,,mined from round report/controls,search/test,CCLAB-CDE margin-local correction (21 frozen triangular corrections),NEXT224 rejected-extreme cohort (SCIGEN+WyFormer),NEXT224 rejected-extreme discovery labels (severe vs protected),"21 corrections, 17 pass source-AUC+SAFE12, 0 passed BROAD; diagnostic representative pooled AUC 0.8407476376/0.7682113316; freeze_authorized=false",fail-gate,<repo>/reports/2026-08-13-hawthorne-characteristic-cn-no-dft-search.md | docs/plans/2026-08-13-next495-next499-cclab-conservative-domain-extension.md | SSD/workspace_data/newpauling/next498_cclab_cde_margin_local_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count=22; 
515,next,NEXT499,2026-08-13,2026-08-13T16:15 .. 2026-08-13T16:18,2026-08-13T20:40:29,plausibility,,mined from round report/controls,diagnostic,CCLAB-CDE margin-local correction,17 AUC+SAFE/non-BROAD records from NEXT498,NEXT224 rejected-extreme discovery labels (severe vs protected),closest residual shortfall 0.1568962149 vs NEXT235 reference 0.1233954365 (no strict improvement); finite branch closed,diagnostic-only,<repo>/reports/2026-08-13-hawthorne-characteristic-cn-no-dft-search.md | docs/plans/2026-08-13-next495-next499-cclab-conservative-domain-extension.md | SSD/workspace_data/newpauling/next499_cclab_cde_broad_diagnostic_v1/MANIFEST.json :: new_formula_selected=False; candidate_count=17 || SSD/workspace_data/newpauling/next499_cclab_c
516,next,NEXT500,2026-08-13,2026-08-13T16:42 .. 2026-08-13T17:05,2026-08-13T21:42:07,plausibility,,mined from round report/controls,search/test,TBAC (topological bond-strength angular-territory correspondence),SCIGEN+WyFormer 80+80 blind probes,none opened (label-blind),"support 78/80 SCIGEN (0.975), 76/80 WyFormer (0.95); max label-free |Spearman| 0.7194956942/0.8430164540; all blind gates pass",probe-pass,<repo>/experiments/next500_tbac_label_blind_novelty_probe_result.full.json | docs/plans/2026-08-13-next500-next504-topological-bond-angular-correspondence.md | workspace/newpauling/experiments/next500_tbac_label_blind_engineering_probe_result.full.json :: engineering_probe_passed=True || workspace/newpauling/experiments/next500_tbac_label
517,next,NEXT501,2026-08-13,2026-08-13T17:07 .. 2026-08-13T17:15,2026-08-13T21:42:07,plausibility,,mined from round report/controls,search/test,TBAC (topological bond-strength angular-territory correspondence),"SCIGEN 13,470 + WyFormer 5,232 (full label-free build)",none opened (label-blind),"coverage SCIGEN 0.9657757981, WyFormer 0.9686544343; both pass",probe-pass,$PRIS_ARCHIVE/next501_topological_bond_angular_correspondence_v1/MANIFEST.json | docs/plans/2026-08-13-next500-next504-topological-bond-angular-correspondence.md | artifact mtime: tests/test_next501_tbac_formal_build.py
518,next,NEXT502,2026-08-13,2026-08-13T17:17 .. 2026-08-13T17:20,2026-08-13T21:42:07,plausibility,,mined from round report/controls,search/test,TBAC (topological bond-strength angular-territory correspondence),NEXT224 rejected-extreme cohort (SCIGEN+WyFormer),NEXT224 rejected-extreme discovery labels (severe vs protected),"audit AUC SCIGEN 0.671864 (worst fold 0.627287), WyFormer 0.474599 (worst fold 0.407843); 0/1 hypotheses eligible",fail-gate,$PRIS_ARCHIVE/next502_tbac_feature_audit_v1/NEXT502_TBAC_FEATURE_AUDIT.json | docs/plans/2026-08-13-next500-next504-topological-bond-angular-correspondence.md | SSD/workspace_data/newpauling/next502_tbac_feature_audit_v1/MANIFEST.json :: new_formula_selected=False; eligible_hypothesis_count=0 || SSD/workspace_data/newpauling/next502_tbac_f
519,next,NEXT503,2026-08-13,NA,2026-08-13T21:42:07,plausibility,,mined from round report/controls,search/test,TBAC (topological bond-strength angular-territory correspondence),NA,NA,not executed; next503_search_authorized=false,not-run (blocked upstream),$PRIS_ARCHIVE/next502_tbac_feature_audit_v1/NEXT502_TBAC_FEATURE_AUDIT.json | docs/plans/2026-08-13-next500-next504-topological-bond-angular-correspondence.md
520,next,NEXT504,2026-08-13,NA,2026-08-13T21:42:07,plausibility,,mined from round report/controls,search/test,TBAC (topological bond-strength angular-territory correspondence),NA,NA,not executed; blocked upstream (0 eligible hypotheses at audit),not-run (blocked upstream),<repo>/docs/plans/2026-08-13-next500-next504-topological-bond-angular-correspondence.md | docs/plans/2026-08-13-next500-next504-topological-bond-angular-correspondence.md
521,next,NEXT505,2026-08-13,2026-08-13T17:36 .. 2026-08-13T17:53,2026-08-13T22:36:32,plausibility,,mined from round report/controls,search/test,MVCH (Madelung valence-class homogeneity),SCIGEN+WyFormer 80+80 blind probes,none opened (label-blind),support 78/80 both sources (0.975); max label-free |Spearman| 0.6828703704/0.8810207521; all blind gates pass,probe-pass,<repo>/experiments/next505_mvch_label_blind_novelty_probe_result.full.json | docs/plans/2026-08-13-next505-next509-madelung-valence-class-homogeneity.md | workspace/newpauling/experiments/next505_mvch_label_blind_novelty_probe_result.superseded-preformal.json :: probe_passed=True; eligible_control_count=9; eligible_control_count=426;
522,next,NEXT506,2026-08-13,2026-08-13T17:54 .. 2026-08-13T17:57,2026-08-13T22:36:32,plausibility,,mined from round report/controls,search/test,MVCH (Madelung valence-class homogeneity),"SCIGEN 13,470 + WyFormer 5,232 (full label-free build)",none opened (label-blind),"coverage SCIGEN 0.981218, WyFormer 0.990061; both pass",probe-pass,$PRIS_ARCHIVE/next506_madelung_valence_class_homogeneity_v1/MANIFEST.json | docs/plans/2026-08-13-next505-next509-madelung-valence-class-homogeneity.md | artifact mtime: tests/test_next506_mvch_formal_build.py
523,next,NEXT507,2026-08-13,2026-08-13T17:59 .. 2026-08-13T18:00,2026-08-13T22:36:32,plausibility,,mined from round report/controls,search/test,MVCH (Madelung valence-class homogeneity),NEXT224 rejected-extreme cohort (SCIGEN+WyFormer),NEXT224 rejected-extreme discovery labels (severe vs protected),"audit AUC SCIGEN 0.752463 (worst fold 0.725305), WyFormer 0.527185 (worst fold 0.458804); 0/1 hypotheses eligible",fail-gate,$PRIS_ARCHIVE/next507_mvch_feature_audit_v1/NEXT507_MVCH_FEATURE_AUDIT.json | docs/plans/2026-08-13-next505-next509-madelung-valence-class-homogeneity.md | SSD/workspace_data/newpauling/next507_mvch_feature_audit_v1/MANIFEST.json :: new_formula_selected=False; eligible_hypothesis_count=0 || SSD/workspace_data/newpauling/next507_mvch_f
524,next,NEXT508,2026-08-13,NA,2026-08-13T22:36:32,plausibility,,mined from round report/controls,search/test,MVCH (Madelung valence-class homogeneity),NA,NA,not executed; next508_search_authorized=false,not-run (blocked upstream),$PRIS_ARCHIVE/next507_mvch_feature_audit_v1/NEXT507_MVCH_FEATURE_AUDIT.json | docs/plans/2026-08-13-next505-next509-madelung-valence-class-homogeneity.md
525,next,NEXT509,2026-08-13,NA,2026-08-13T22:36:32,plausibility,,mined from round report/controls,search/test,MVCH (Madelung valence-class homogeneity),NA,NA,not executed; blocked upstream (0 eligible hypotheses at audit),not-run (blocked upstream),<repo>/docs/plans/2026-08-13-next505-next509-madelung-valence-class-homogeneity.md | docs/plans/2026-08-13-next505-next509-madelung-valence-class-homogeneity.md
526,next,NEXT510,2026-08-13,2026-08-13T18:18 .. 2026-08-13T18:29,2026-08-13T23:18:21,plausibility,,mined from round report/controls,search/test,MCPA (Madelung charge-potential antitonicity),SCIGEN+WyFormer 80+80 blind probes,none opened (label-blind),support 78/80 both sources; max label-free |Spearman| 0.6568536085/0.5851392731; all blind gates pass,probe-pass,<repo>/experiments/next510_mcpa_label_blind_novelty_probe_result.full.json | docs/plans/2026-08-13-next510-next514-madelung-charge-potential-antitonicity.md | workspace/newpauling/experiments/next510_mcpa_label_blind_engineering_probe_result.full.json :: engineering_probe_passed=True || workspace/newpauling/experiments/next510_mcpa_label
527,next,NEXT511,2026-08-13,2026-08-13T18:30 .. 2026-08-13T18:33,2026-08-13T23:18:21,plausibility,,mined from round report/controls,search/test,MCPA (Madelung charge-potential antitonicity),"SCIGEN 13,470 + WyFormer 5,232 (full label-free build)",none opened (label-blind),"coverage SCIGEN 0.981218, WyFormer 0.990061; both pass",probe-pass,$PRIS_ARCHIVE/next511_madelung_charge_potential_antitonicity_v1/MANIFEST.json | docs/plans/2026-08-13-next510-next514-madelung-charge-potential-antitonicity.md | artifact mtime: tests/test_next511_mcpa_formal_build.py
528,next,NEXT512,2026-08-13,2026-08-13T18:34 .. 2026-08-13T18:37,2026-08-13T23:18:21,plausibility,,mined from round report/controls,search/test,MCPA (Madelung charge-potential antitonicity),NEXT224 rejected-extreme cohort (SCIGEN+WyFormer),NEXT224 rejected-extreme discovery labels (severe vs protected),"audit AUC SCIGEN 0.540175 (worst fold 0.510334), WyFormer 0.629168 (worst fold 0.570253); 0/1 hypotheses eligible",fail-gate,$PRIS_ARCHIVE/next512_mcpa_feature_audit_v1/NEXT512_MCPA_FEATURE_AUDIT.json | docs/plans/2026-08-13-next510-next514-madelung-charge-potential-antitonicity.md | SSD/workspace_data/newpauling/next512_mcpa_feature_audit_v1/MANIFEST.json :: new_formula_selected=False; eligible_hypothesis_count=0 || SSD/workspace_data/newpauling/next512_mcpa_f
529,next,NEXT513,2026-08-13,NA,2026-08-13T23:18:21,plausibility,,mined from round report/controls,search/test,MCPA (Madelung charge-potential antitonicity),NA,NA,not executed; next513_search_authorized=false,not-run (blocked upstream),$PRIS_ARCHIVE/next512_mcpa_feature_audit_v1/NEXT512_MCPA_FEATURE_AUDIT.json | docs/plans/2026-08-13-next510-next514-madelung-charge-potential-antitonicity.md
530,next,NEXT514,2026-08-13,NA,2026-08-13T23:18:21,plausibility,,mined from round report/controls,search/test,MCPA (Madelung charge-potential antitonicity),NA,NA,not executed; blocked upstream (0 eligible hypotheses at audit),not-run (blocked upstream),<repo>/docs/plans/2026-08-13-next510-next514-madelung-charge-potential-antitonicity.md | docs/plans/2026-08-13-next510-next514-madelung-charge-potential-antitonicity.md
531,next,NEXT515,2026-08-13,2026-08-13T18:44 .. 2026-08-13T18:54,2026-08-13T23:44:08,plausibility,,mined from round report/controls,search/test,ECCC-CDE (ECCC conservative domain extension),SCIGEN+WyFormer 80+80 blind probes,none opened (label-blind),"support 78/80 both sources; conservatism, shared-domain identity, invariance gates all pass (post-coverage extension of NEXT470)",probe-pass,<repo>/experiments/next515_eccc_cde_label_blind_probe_result.full.json | docs/plans/2026-08-13-next515-next519-eccc-conservative-domain-extension.md | workspace/newpauling/experiments/next515_eccc_cde_label_blind_probe_result.full.json :: probe_passed=True
532,next,NEXT516,2026-08-13,2026-08-13T18:56 .. 2026-08-13T19:01,2026-08-13T23:44:08,plausibility,,mined from round report/controls,search/test,ECCC-CDE (ECCC conservative domain extension),"SCIGEN 13,470 + WyFormer 5,232 (full label-free build)",none opened (label-blind),"coverage SCIGEN 0.981218, WyFormer 0.990252; both pass",probe-pass,$PRIS_ARCHIVE/next516_eccc_conservative_domain_extension_v1/MANIFEST.json | docs/plans/2026-08-13-next515-next519-eccc-conservative-domain-extension.md | artifact mtime: tests/test_next516_eccc_cde_formal_build.py
533,next,NEXT517,2026-08-13,2026-08-13T19:02 .. 2026-08-13T19:05,2026-08-13T23:44:08,plausibility,,mined from round report/controls,search/test,ECCC-CDE (ECCC conservative domain extension),NEXT224 rejected-extreme cohort (SCIGEN+WyFormer),NEXT224 rejected-extreme discovery labels (severe vs protected),"audit AUC SCIGEN 0.390478 (worst fold 0.332088), WyFormer 0.505011 (worst fold 0.420479); 0/1 hypotheses eligible",fail-gate,$PRIS_ARCHIVE/next517_eccc_cde_feature_audit_v1/NEXT517_ECCC_CDE_FEATURE_AUDIT.json | docs/plans/2026-08-13-next515-next519-eccc-conservative-domain-extension.md | SSD/workspace_data/newpauling/next517_eccc_cde_feature_audit_v1/MANIFEST.json :: new_formula_selected=False; eligible_hypothesis_count=0 || SSD/workspace_data/newpauling/next517_ec
534,next,NEXT518,2026-08-13,NA,2026-08-13T23:44:08,plausibility,,mined from round report/controls,search/test,ECCC-CDE (ECCC conservative domain extension),NA,NA,not executed; next518_search_authorized=false,not-run (blocked upstream),$PRIS_ARCHIVE/next517_eccc_cde_feature_audit_v1/NEXT517_ECCC_CDE_FEATURE_AUDIT.json | docs/plans/2026-08-13-next515-next519-eccc-conservative-domain-extension.md
535,next,NEXT519,2026-08-13,NA,2026-08-13T23:44:08,plausibility,,mined from round report/controls,search/test,ECCC-CDE (ECCC conservative domain extension),NA,NA,not executed; blocked upstream (0 eligible hypotheses at audit),not-run (blocked upstream),<repo>/docs/plans/2026-08-13-next515-next519-eccc-conservative-domain-extension.md | docs/plans/2026-08-13-next515-next519-eccc-conservative-domain-extension.md
536,next,NEXT520,2026-08-13,2026-08-13T19:18 .. 2026-08-13T19:40,2026-08-14T00:18:19,plausibility,,mined from round report/controls,search/test,MCPE (Madelung chemical-potential equalization),SCIGEN+WyFormer 80+80 blind probes,none opened (label-blind),support 78/80 both sources; max label-free |Spearman| 0.6954185055/0.6354104736; all blind gates pass after label-blind supercell (electronegativity-partition) correction (first run invariance error 0.0037994576/0.0216342009),probe-pass,<repo>/experiments/next520_mcpe_label_blind_novelty_probe_result.full.json | docs/plans/2026-08-13-next520-mcpe-supercell-correction.md | workspace/newpauling/experiments/next520_mcpe_label_blind_engineering_probe_result.full.json :: engineering_probe_passed=False || workspace/newpauling/experiments/next520_mcpe_labe
537,next,NEXT521,2026-08-13,2026-08-13T19:42 .. 2026-08-13T19:45,2026-08-14T00:18:19,plausibility,,mined from round report/controls,search/test,MCPE (Madelung chemical-potential equalization),"SCIGEN 13,470 + WyFormer 5,232 (full label-free build)",none opened (label-blind),"coverage SCIGEN 0.981218, WyFormer 0.990061; both pass",probe-pass,$PRIS_ARCHIVE/next521_madelung_chemical_potential_equalization_v1/MANIFEST.json | docs/plans/2026-08-13-next520-next524-madelung-chemical-potential-equalization.md | artifact mtime: tests/test_next521_mcpe_formal_build.py
538,next,NEXT522,2026-08-13,2026-08-13T19:46 .. 2026-08-13T19:48,2026-08-14T00:18:19,plausibility,,mined from round report/controls,search/test,MCPE (Madelung chemical-potential equalization),NEXT224 rejected-extreme cohort (SCIGEN+WyFormer),NEXT224 rejected-extreme discovery labels (severe vs protected),"audit AUC SCIGEN 0.627047 (worst fold 0.584601), WyFormer 0.503121 (worst fold 0.426619); 0/1 hypotheses eligible",fail-gate,$PRIS_ARCHIVE/next522_mcpe_feature_audit_v1/NEXT522_MCPE_FEATURE_AUDIT.json | docs/plans/2026-08-13-next520-next524-madelung-chemical-potential-equalization.md | SSD/workspace_data/newpauling/next522_mcpe_feature_audit_v1/MANIFEST.json :: new_formula_selected=False; eligible_hypothesis_count=0 || SSD/workspace_data/newpauling/next522_mcpe_f
539,next,NEXT523,2026-08-13,NA,2026-08-14T00:18:19,plausibility,,mined from round report/controls,search/test,MCPE (Madelung chemical-potential equalization),NA,NA,not executed; next523_search_authorized=false,not-run (blocked upstream),$PRIS_ARCHIVE/next522_mcpe_feature_audit_v1/NEXT522_MCPE_FEATURE_AUDIT.json | docs/plans/2026-08-13-next520-next524-madelung-chemical-potential-equalization.md
540,next,NEXT524,2026-08-13,NA,2026-08-14T00:18:19,plausibility,,mined from round report/controls,search/test,MCPE (Madelung chemical-potential equalization),NA,NA,not executed; blocked upstream (0 eligible hypotheses at audit),not-run (blocked upstream),<repo>/docs/plans/2026-08-13-next520-next524-madelung-chemical-potential-equalization.md | docs/plans/2026-08-13-next520-next524-madelung-chemical-potential-equalization.md
541,next,NEXT525,2026-08-13,2026-08-13T20:06 .. 2026-08-13T20:11,2026-08-14T01:06:31,plausibility,,mined from round report/controls,search/test,"SSSP (same-sign shell purity, reject if SSSP<=0.5231805323)","SCIGEN+WyFormer discovery partitions (12,969/5,002 supported)",NEXT224 rejected-extreme discovery labels (severe vs protected),SCIGEN pooled discovery AUC 0.8558947768 (worst formula fold 0.8292102463); WyFormer 0.6546082320 (worst fold 0.6320934494); passes_discovery_feasibility=true,pass,<repo>/reports/evidence/2026-08-14-next1-next568/late-json-controls/next525_sssp_standalone_discovery_freeze_v1/NEXT525_SSSP_DISCOVERY_EVALUATION.json | docs/plans/2026-08-13-next525-next528-sssp-standalone-sequential-validation.md | SSD/workspace_data/newpauling/next525_sssp_standalone_discovery_freeze_v1/NEXT525_SSSP_DISCOVERY_EVALUATION.json :: candidate_count=15879 || workspace/newpauling/reports/evidence/2
542,next,NEXT526,2026-08-13,2026-08-13T20:11 .. 2026-08-13T20:16,2026-08-14T01:06:31,plausibility,,mined from round report/controls,search/test,SSSP,sealed internal validation+replication geometries (feature freeze),none opened (label-blind),holdout features frozen; next527_internal_validation_authorized=true,probe-pass,<repo>/reports/evidence/2026-08-14-next1-next568/late-json-controls/next526_sssp_holdout_feature_freeze_v1/MANIFEST.json | docs/plans/2026-08-13-next525-next528-sssp-standalone-sequential-validation.md | artifact mtime: tests/test_next526_sssp_holdout_feature_freeze.py
543,next,NEXT527,2026-08-13,2026-08-13T20:17 .. 2026-08-13T20:21,2026-08-14T01:06:31,plausibility,,mined from round report/controls,search/test,SSSP,"SCIGEN 5,174 + WyFormer internal validation partitions",NEXT224 rejected-extreme discovery labels (severe vs protected),"SCIGEN AUC 0.8635, WyFormer AUC 0.6692; passes_all_validation_gates=true",pass,<repo>/reports/evidence/2026-08-14-next1-next568/late-json-controls/next527_sssp_one_shot_dual_source_validation_v1/NEXT527_SSSP_INTERNAL_VALIDATION.json | docs/plans/2026-08-13-next525-next528-sssp-standalone-sequential-validation.md | SSD/workspace_data/newpauling/next527_sssp_one_shot_dual_source_validation_v1/MANIFEST.json :: passes_all_validation_gates=True || SSD/workspace_data/newpauling/next527_sssp_one_sh
544,next,NEXT528,2026-08-13,2026-08-13T20:22 .. 2026-08-13T20:25,2026-08-14T01:06:31,plausibility,,mined from round report/controls,search/test,SSSP,"SCIGEN 6,098 + WyFormer internal replication partitions",NEXT224 rejected-extreme discovery labels (severe vs protected),"SCIGEN passes; WyFormer ranking gate passes (AUC 0.6502, bootstrap lower 0.6172) but protected-recall lower 0.9487<0.95 and severe-rejection-precision lower 0.5595<0.60; passes_all_replication_gates=false",fail-gate,<repo>/reports/evidence/2026-08-14-next1-next568/late-json-controls/next528_sssp_one_shot_dual_source_replication_v1/NEXT528_SSSP_INTERNAL_REPLICATION.json | docs/plans/2026-08-13-next525-next528-sssp-standalone-sequential-validation.md | SSD/workspace_data/newpauling/next528_sssp_one_shot_dual_source_replication_v1/MANIFEST.json :: passes_all_replication_gates=False || SSD/workspace_data/newpauling/next528_sssp_one
545,next,NEXT529,2026-08-13,2026-08-13T20:34 .. 2026-08-13T20:39,2026-08-14T01:34:30,adjacent,,mined from round report/controls,search/test,SSSP+BVC (SSSP<=0.5231805323 OR SCBV<=0.3369534621),six exposed SCIGEN/WyFormer cells (outcome-informed development),extreme stability endpoint (frozen for WBM external evaluation),combined formula frozen; scientific_status=freeze_for_new_disjoint_wbm_external_evaluation; external_evidence_required=true,probe-pass,<repo>/reports/evidence/2026-08-14-next1-next568/late-json-controls/next529_sssp_bvc_development_freeze_v1/NEXT529_SSSP_BVC_SIX_CELL_DEVELOPMENT.json | docs/plans/2026-08-13-next529-next532-sssp-bond-valence-coherence.md | SSD/workspace_data/newpauling/next529_sssp_bvc_development_freeze_v1/NEXT529_SSSP_BVC_SIX_CELL_DEVELOPMENT.json :: candidate_count=29701 || workspace/newpauling/reports/evidence/20
546,next,NEXT530,2026-08-13,2026-08-13T20:40 .. 2026-08-13T20:42,2026-08-14T01:34:30,adjacent,,mined from round report/controls,search/test,SSSP+BVC,"WBM test set: 8,192 rows selected from 172,499 (disjoint from prior WBM use)",none opened (label-blind cohort build),"8,192 selected rows; next531_label_free_features_authorized=true",probe-pass,<repo>/reports/evidence/2026-08-14-next1-next568/late-json-controls/next530_sssp_bvc_new_disjoint_wbm_cohort_v1/MANIFEST.json | docs/plans/2026-08-13-next529-next532-sssp-bond-valence-coherence.md | artifact mtime: tests/test_next530_sssp_bvc_wbm_cohort.py
547,next,NEXT531,2026-08-13,2026-08-13T20:43 .. 2026-08-13T20:49,2026-08-14T01:34:30,adjacent,,mined from round report/controls,search/test,SSSP+BVC,"WBM 8,192-row cohort",none opened (label-free feature build),label-free feature tables built for one-shot external evaluation,probe-pass,<repo>/reports/evidence/2026-08-14-next1-next568/late-json-controls/next531_sssp_bvc_wbm_label_free_features_v1/NEXT531_SSSP_BVC_FEATURE_CATALOGUE.json | docs/plans/2026-08-13-next529-next532-sssp-bond-valence-coherence.md | artifact mtime: tests/test_next531_sssp_bvc_wbm_features.py
548,next,NEXT532,2026-08-13,2026-08-13T20:52 .. 2026-08-13T20:55,2026-08-14T01:34:30,adjacent,,mined from round report/controls,search/test,SSSP+BVC,"WBM 8,192 rows (7,972 supported)",WBM extreme stability endpoint (protected e_above_hull stratum <=0.1),coverage 0.97314453; savings_lower 0.0098059226<0.02; severe_rejection_precision_lower 0.5012567465<0.60; binary_reject_auc 0.4991251198; passes_all_external_gates=false,fail-gate,<repo>/reports/evidence/2026-08-14-next1-next568/late-json-controls/next532_sssp_bvc_wbm_one_shot_external_evaluation_v1/NEXT532_SSSP_BVC_WBM_EXTERNAL_EVALUATION.json | docs/plans/2026-08-13-next529-next532-sssp-bond-valence-coherence.md | SSD/workspace_data/newpauling/next532_sssp_bvc_wbm_one_shot_external_evaluation_v1/MANIFEST.json :: passes_all_external_gates=False || SSD/workspace_data/newpauling/next532_sssp_bv
549,next,NEXT533,2026-08-13,2026-08-13T21:12 .. 2026-08-13T21:44,2026-08-14T02:12:27,adjacent,,mined from round report/controls,search/test,SSSP (ODAC23 label-free framework features),"ODAC23 frameworks (6,121 rows)",none opened (label-free feature build),label-free SSSP feature freeze completed,probe-pass,<repo>/reports/evidence/2026-08-14-next1-next568/late-json-controls/next533_odac23_sssp_label_free_features_v1/NEXT533_ODAC23_SSSP_FEATURE_CATALOGUE.json | docs/plans/2026-08-13-next533-next536-odac-sssp-framework-guard.md | artifact mtime: docs/plans/2026-08-13-next533-next536-odac-sssp-framework-guard.md
550,next,NEXT534,2026-08-13,2026-08-13T21:23 .. 2026-08-13T21:45,2026-08-14T02:12:27,adjacent,,mined from round report/controls,search/test,SSSP framework guard,"ODAC23 6,121 rows (discovery+internal validation partitions)","ODAC23 framework relaxation-response endpoint (protected<=0.05 A, severe>=0.2 A)","36,564 candidates searched; eligible_candidate_count=0; next535_replication_prediction_authorized=false",fail-gate,<repo>/reports/evidence/2026-08-14-next1-next568/late-json-controls/next534_odac23_sssp_framework_guard_v1/NEXT534_ODAC23_SSSP_FRAMEWORK_SEARCH.json | docs/plans/2026-08-13-next533-next536-odac-sssp-framework-guard.md | SSD/workspace_data/newpauling/next534_odac23_sssp_framework_guard_v1/MANIFEST.json :: candidate_count=36564; eligible_candidate_count=0 || SSD/workspace_data/newpauling/next534_oda
551,next,NEXT535,2026-08-13,NA,2026-08-14T02:12:27,adjacent,,mined from round report/controls,search/test,SSSP framework guard,NA,NA,not executed; next535_replication_prediction_authorized=false,not-run (blocked upstream),<repo>/docs/plans/2026-08-13-next533-next536-odac-sssp-framework-guard.md | docs/plans/2026-08-13-next533-next536-odac-sssp-framework-guard.md
552,next,NEXT536,2026-08-13,NA,2026-08-14T02:12:27,adjacent,,mined from round report/controls,search/test,SSSP framework guard,NA,NA,not executed; one-shot replication blocked (0 eligible at NEXT534),not-run (blocked upstream),<repo>/docs/plans/2026-08-13-next533-next536-odac-sssp-framework-guard.md | docs/plans/2026-08-13-next533-next536-odac-sssp-framework-guard.md
553,next,NEXT537,2026-08-13,2026-08-13T21:51 .. 2026-08-13T22:02,2026-08-14T02:50:53,adjacent,,mined from round report/controls,search/test,PBAAA (periodic bond-angle affine accommodation),frozen kernel (probed on ODAC23 in NEXT538),none opened (label-blind),NA (kernel design/implementation frozen; no separate gate),unmarked,<repo>/docs/plans/2026-08-13-next537-next542-periodic-bond-angle-affine-accommodation.md | docs/plans/2026-08-13-next537-next542-periodic-bond-angle-affine-accommodation.md | artifact mtime: docs/plans/2026-08-13-next537-next542-periodic-bond-angle-affine-accommodation.md
554,next,NEXT538,2026-08-13,2026-08-13T21:54 .. 2026-08-13T22:04,2026-08-14T02:50:53,adjacent,,mined from round report/controls,search/test,PBAAA,ODAC23 96-row (32x3 roles) label-blind probe,none opened (label-blind),"v1: invariance_passes=false (gates.passes=false); v2 after correction: all gates pass, supported 95/96, novelty pass",probe-pass,<repo>/reports/evidence/2026-08-14-next1-next568/late-json-controls/next538_pbaaa_label_blind_probe_v2/NEXT538_PBAAA_LABEL_BLIND_PROBE.json | docs/plans/2026-08-13-next537-next542-periodic-bond-angle-affine-accommodation.md | artifact mtime: tests/test_next538_pbaaa_label_blind_probe.py
555,next,NEXT539,2026-08-13,2026-08-13T22:05 .. 2026-08-13T22:12,2026-08-14T02:50:53,adjacent,,mined from round report/controls,search/test,PBAAA framework guard,"ODAC23 frameworks (6,121 rows)",none opened (label-free feature build),full label-free PBAAA feature freeze completed,probe-pass,<repo>/reports/evidence/2026-08-14-next1-next568/late-json-controls/next539_odac23_pbaaa_label_free_features_v1/NEXT539_ODAC23_PBAAA_FEATURE_CATALOGUE.json | docs/plans/2026-08-13-next537-next542-periodic-bond-angle-affine-accommodation.md | artifact mtime: tests/test_next539_odac23_pbaaa_label_free_features.py
